customer_input,recommendations
,
Recommend me navy cotton men casual polo shirt. Recommend me all dresses. Recommend me hat.,"[""We recommend the Dress which is of Cotton material in Navy color for Women and it is Casual wear of sizes S, M, L. Price: $40. Description: Casual navy polo dress with a classic look.."", ""We recommend the Polo Shirt which is of Cotton material in Navy color for Men and it is Casual wear of sizes S, M, L, XL. Price: $30. Description: Classic navy striped polo shirt for a smart casual look..""]"
Recommend me navy cotton men casual polo shirt. Recommend me all dresses. Recommend me hat. Recommend me black color products.,"[""We recommend the Dress which is of Cotton material in Navy color for Women and it is Casual wear of sizes S, M, L. Price: $40. Description: Casual navy polo dress with a classic look.."", ""We recommend the Polo Shirt which is of Cotton material in Navy color for Men and it is Casual wear of sizes S, M, L, XL. Price: $30. Description: Classic navy striped polo shirt for a smart casual look..""]"
Recommend me navy cotton men casual polo shirt. Recommend me all dresses. Recommend me hat. Recommend me black color products. Recommend me pant.,"[""We recommend the Dress which is of Cotton material in Navy color for Women and it is Casual wear of sizes S, M, L. Price: $40. Description: Casual navy polo dress with a classic look.."", ""We recommend the Polo Shirt which is of Cotton material in Navy color for Men and it is Casual wear of sizes S, M, L, XL. Price: $30. Description: Classic navy striped polo shirt for a smart casual look..""]"
Recommend me navy cotton men casual polo shirt. Recommend me all dresses. Recommend me hat. Recommend me black color products. Recommend me pant.  njkewhor;saeiuGVNJA;ERUOZNHVAF......CDKAS.,"[""We recommend the Dress which is of Cotton material in Navy color for Women and it is Casual wear of sizes S, M, L. Price: $40. Description: Casual navy polo dress with a classic look.."", ""We recommend the Polo Shirt which is of Cotton material in Navy color for Men and it is Casual wear of sizes S, M, L, XL. Price: $30. Description: Classic navy striped polo shirt for a smart casual look..""]"
Looking for a warm winter coat,"[""We recommend the WinterWonder coat which is wool in black color and size XL."", ""Consider the SnowPeak coat, polyester, blue color, size L.""]"
Recommend me Shirt.,"[{""prod_id"": 23.0, ""prod"": ""Shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod_id"": NaN, ""prod"": ""Shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
Recommend me Pants.,"[{""prod_id"": NaN, ""prod"": ""Pants"", ""Material"": ""Cotton"", ""Size"": ""28-38"", ""Color"": ""Khaki"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Comfortable khaki pants for everyday wear."", ""combined"": ""pant, Cotton, 28-38, Khaki, Men, Casual, $35, Comfortable khaki pants for everyday wear."", ""prod_lemmatized"": ""pant""}, {""prod_id"": 10.0, ""prod"": ""Pants"", ""Material"": ""Cotton"", ""Size"": ""28-38"", ""Color"": ""Khaki"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Durable khaki cargo pants with multiple pockets."", ""combined"": ""pant, Cotton, 28-38, Khaki, Men, Casual, $35, Durable khaki cargo pants with multiple pockets."", ""prod_lemmatized"": ""pant""}]"
Recommend me Jacket.,"[{""prod_id"": 4.0, ""prod"": ""Jacket"", ""Material"": ""Leather"", ""Size"": ""S, M, L, XL"", ""Color"": ""Black"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$150"", ""Description"": ""Sleek black leather jacket for a cool, edgy look."", ""combined"": ""jacket, Leather, S, M, L, XL, Black, Men, Casual, $150, Sleek black leather jacket for a cool, edgy look."", ""prod_lemmatized"": ""jacket""}, {""prod_id"": NaN, ""prod"": ""Jacket"", ""Material"": ""Nylon"", ""Size"": ""S, M, L, XL"", ""Color"": ""Green"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$60"", ""Description"": ""Trendy green bomber jacket for a casual look."", ""combined"": ""jacket, Nylon, S, M, L, XL, Green, Men, Casual, $60, Trendy green bomber jacket for a casual look."", ""prod_lemmatized"": ""jacket""}]"
Recommend me Polo Shirt.,"[{""prod_id"": 7.0, ""prod"": ""Polo Shirt"", ""Material"": ""Cotton"", ""Size"": ""S, M, L, XL"", ""Color"": ""Navy"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$30"", ""Description"": ""Classic navy striped polo shirt for a smart casual look."", ""combined"": ""Polo Shirt, Cotton, S, M, L, XL, Navy, Men, Casual, $30, Classic navy striped polo shirt for a smart casual look."", ""prod_lemmatized"": ""polo shirt""}]"
Recommend me Shirt.,"[{""prod_id"": 23, ""prod"": ""Shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod_id"": 49, ""prod"": ""Shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
Recommend me Shirt.,"[{""prod_id"": 23, ""prod"": ""Shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod_id"": 49, ""prod"": ""Shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
Recommend me Shirt.,"[{""prod_id"": 23, ""prod"": ""Shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod_id"": 49, ""prod"": ""Shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
I am looking for Shirt.,"[{""prod_id"": 49, ""prod"": ""Shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}, {""prod_id"": 23, ""prod"": ""Shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}]"
I am looking for Pants.,"[{""prod_id"": 10, ""prod"": ""Pants"", ""Material"": ""Cotton"", ""Size"": ""28-38"", ""Color"": ""Khaki"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Durable khaki cargo pants with multiple pockets."", ""combined"": ""pant, Cotton, 28-38, Khaki, Men, Casual, $35, Durable khaki cargo pants with multiple pockets."", ""prod_lemmatized"": ""pant""}, {""prod_id"": 42, ""prod"": ""Pants"", ""Material"": ""Cotton"", ""Size"": ""28-38"", ""Color"": ""Khaki"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Comfortable khaki pants for everyday wear."", ""combined"": ""pant, Cotton, 28-38, Khaki, Men, Casual, $35, Comfortable khaki pants for everyday wear."", ""prod_lemmatized"": ""pant""}, {""prod_id"": 48, ""prod"": ""Pants"", ""Material"": ""Cotton"", ""Size"": ""S, M, L, XL"", ""Color"": ""Black"", ""Gender"": ""Women"", ""Wears"": ""Casual"", ""Price"": ""$30"", ""Description"": ""Stylish black capri pants perfect for casual outings."", ""combined"": ""pant, Cotton, S, M, L, XL, Black, Women, Casual, $30, Stylish black capri pants perfect for casual outings."", ""prod_lemmatized"": ""pant""}, {""prod_id"": 14, ""prod"": ""Pants"", ""Material"": ""Spandex"", ""Size"": ""S, M, L, XL"", ""Color"": ""Black"", ""Gender"": ""Women"", ""Wears"": ""Sports"", ""Price"": ""$30"", ""Description"": ""Flexible and comfortable yoga pants for any workout."", ""combined"": ""pant, Spandex, S, M, L, XL, Black, Women, Sports, $30, Flexible and comfortable yoga pants for any workout."", ""prod_lemmatized"": ""pant""}]"
I am looking for Shoes.,"[{""prod_id"": 5, ""prod"": ""Shoes"", ""Material"": ""Mesh"", ""Size"": ""S, M, L, XL"", ""Color"": ""Red"", ""Gender"": ""Unisex"", ""Wears"": ""Sports"", ""Price"": ""$60"", ""Description"": ""Breathable mesh running shoes with great support."", ""combined"": ""shoe, Mesh, S, M, L, XL, Red, Unisex, Sports, $60, Breathable mesh running shoes with great support."", ""prod_lemmatized"": ""shoe""}]"
I am looking for Jeans.,"[{""prod_id"": 2, ""prod"": ""Jeans"", ""Material"": ""Denim"", ""Size"": ""28-38"", ""Color"": ""Blue"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$50"", ""Description"": ""Stylish slim fit jeans with a classic blue wash."", ""combined"": ""jean, Denim, 28-38, Blue, Men, Casual, $50, Stylish slim fit jeans with a classic blue wash."", ""prod_lemmatized"": ""jean""}]"
I am looking for Pants.,"[{""prod_id"": 10, ""prod"": ""Pants"", ""Material"": ""Cotton"", ""Size"": ""28-38"", ""Color"": ""Khaki"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Durable khaki cargo pants with multiple pockets."", ""combined"": ""pant, Cotton, 28-38, Khaki, Men, Casual, $35, Durable khaki cargo pants with multiple pockets."", ""prod_lemmatized"": ""pant""}, {""prod_id"": 42, ""prod"": ""Pants"", ""Material"": ""Cotton"", ""Size"": ""28-38"", ""Color"": ""Khaki"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Comfortable khaki pants for everyday wear."", ""combined"": ""pant, Cotton, 28-38, Khaki, Men, Casual, $35, Comfortable khaki pants for everyday wear."", ""prod_lemmatized"": ""pant""}, {""prod_id"": 48, ""prod"": ""Pants"", ""Material"": ""Cotton"", ""Size"": ""S, M, L, XL"", ""Color"": ""Black"", ""Gender"": ""Women"", ""Wears"": ""Casual"", ""Price"": ""$30"", ""Description"": ""Stylish black capri pants perfect for casual outings."", ""combined"": ""pant, Cotton, S, M, L, XL, Black, Women, Casual, $30, Stylish black capri pants perfect for casual outings."", ""prod_lemmatized"": ""pant""}, {""prod_id"": 14, ""prod"": ""Pants"", ""Material"": ""Spandex"", ""Size"": ""S, M, L, XL"", ""Color"": ""Black"", ""Gender"": ""Women"", ""Wears"": ""Sports"", ""Price"": ""$30"", ""Description"": ""Flexible and comfortable yoga pants for any workout."", ""combined"": ""pant, Spandex, S, M, L, XL, Black, Women, Sports, $30, Flexible and comfortable yoga pants for any workout."", ""prod_lemmatized"": ""pant""}]"
I am looking for Gloves.,"[{""prod_id"": 33, ""prod"": ""Gloves"", ""Material"": ""Wool"", ""Size"": ""S, M, L"", ""Color"": ""Black"", ""Gender"": ""Unisex"", ""Wears"": ""Winter"", ""Price"": ""$20"", ""Description"": ""Warm black wool gloves for cold winter days."", ""combined"": ""glove, Wool, S, M, L, Black, Unisex, Winter, $20, Warm black wool gloves for cold winter days."", ""prod_lemmatized"": ""glove""}]"
I am looking for Gloves.,"[{""prod_id"": 33, ""prod"": ""Gloves"", ""Material"": ""Wool"", ""Size"": ""S, M, L"", ""Color"": ""Black"", ""Gender"": ""Unisex"", ""Wears"": ""Winter"", ""Price"": ""$20"", ""Description"": ""Warm black wool gloves for cold winter days."", ""combined"": ""glove, Wool, S, M, L, Black, Unisex, Winter, $20, Warm black wool gloves for cold winter days."", ""prod_lemmatized"": ""glove""}]"
I am looking for Pants.,"[{""prod_id"": 42, ""prod"": ""Pant"", ""Material"": ""Cotton"", ""Size"": ""28-38"", ""Color"": ""Khaki"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Comfortable khaki pants for everyday wear."", ""combined"": ""pant, Cotton, 28-38, Khaki, Men, Casual, $35, Comfortable khaki pants for everyday wear."", ""prod_lemmatized"": ""pant""}, {""prod_id"": 10, ""prod"": ""Pant"", ""Material"": ""Cotton"", ""Size"": ""28-38"", ""Color"": ""Khaki"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Durable khaki cargo pants with multiple pockets."", ""combined"": ""pant, Cotton, 28-38, Khaki, Men, Casual, $35, Durable khaki cargo pants with multiple pockets."", ""prod_lemmatized"": ""pant""}, {""prod_id"": 48, ""prod"": ""Pant"", ""Material"": ""Cotton"", ""Size"": ""S, M, L, XL"", ""Color"": ""Black"", ""Gender"": ""Women"", ""Wears"": ""Casual"", ""Price"": ""$30"", ""Description"": ""Stylish black capri pants perfect for casual outings."", ""combined"": ""pant, Cotton, S, M, L, XL, Black, Women, Casual, $30, Stylish black capri pants perfect for casual outings."", ""prod_lemmatized"": ""pant""}, {""prod_id"": 14, ""prod"": ""Pant"", ""Material"": ""Spandex"", ""Size"": ""S, M, L, XL"", ""Color"": ""Black"", ""Gender"": ""Women"", ""Wears"": ""Sports"", ""Price"": ""$30"", ""Description"": ""Flexible and comfortable yoga pants for any workout."", ""combined"": ""pant, Spandex, S, M, L, XL, Black, Women, Sports, $30, Flexible and comfortable yoga pants for any workout."", ""prod_lemmatized"": ""pant""}]"
I am looking for Shirt.,"[{""prod_id"": 49, ""prod"": ""Shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}, {""prod_id"": 23, ""prod"": ""Shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}]"
I am looking for Jeans.,"[{""prod_id"": 2, ""prod"": ""Jeans"", ""Material"": ""Denim"", ""Size"": ""28-38"", ""Color"": ""Blue"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$50"", ""Description"": ""Stylish slim fit jeans with a classic blue wash."", ""combined"": ""jean, Denim, 28-38, Blue, Men, Casual, $50, Stylish slim fit jeans with a classic blue wash."", ""prod_lemmatized"": ""jean""}]"
look Jeans.,"[{""prod_id"": 2, ""prod"": ""Jeans"", ""Material"": ""Denim"", ""Size"": ""28-38"", ""Color"": ""Blue"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$50"", ""Description"": ""Stylish slim fit jeans with a classic blue wash."", ""combined"": ""jean, Denim, 28-38, Blue, Men, Casual, $50, Stylish slim fit jeans with a classic blue wash."", ""prod_lemmatized"": ""jean""}]"
look Jeans.,"[{""prod_id"": 2, ""prod"": ""Jeans"", ""Material"": ""Denim"", ""Size"": ""28-38"", ""Color"": ""Blue"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$50"", ""Description"": ""Stylish slim fit jeans with a classic blue wash."", ""combined"": ""jean, Denim, 28-38, Blue, Men, Casual, $50, Stylish slim fit jeans with a classic blue wash."", ""prod_lemmatized"": ""jean""}]"
Recommend me Shirt.,"[{""prod_id"": 23, ""prod"": ""shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod_id"": 49, ""prod"": ""shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
Recommend me Shirts.,"[{""prod_id"": 23, ""prod"": ""shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod_id"": 49, ""prod"": ""shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
Recommend me Jeans.,"[{""prod_id"": 2, ""prod"": ""jeans"", ""Material"": ""Denim"", ""Size"": ""28-38"", ""Color"": ""Blue"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$50"", ""Description"": ""Stylish slim fit jeans with a classic blue wash."", ""combined"": ""jean, Denim, 28-38, Blue, Men, Casual, $50, Stylish slim fit jeans with a classic blue wash."", ""prod_lemmatized"": ""jean""}]"
Recommend me Shirt.,"[{""prod"": ""shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod"": ""shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
Recommend me t-shirt.,"[{""prod"": ""shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod"": ""shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
Recommend me Shirt.,"[{""prod"": ""shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod"": ""shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
Recommend me shirt.,"[{""prod"": ""shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod"": ""shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
Recommend me shirt.,"[{""prod"": ""shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod"": ""shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
